entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
driver,constrained_proportional,stroll,Lance Stroll,5.25,0,,0.3413472378,,,,-5.25
driver,constrained_hybrid,antonelli,Kimi Antonelli,10,9.113466275,3.666757847,0.1629357222,,,,-0.8865337253
driver,constrained_hybrid,hamilton,Lewis Hamilton,7,8.794337828,3.628817501,0.1798937427,,,,1.794337828
driver,constrained_hybrid,max_verstappen,Max Verstappen,6.5,8.279671914,3.642769366,0.1783424057,,,,1.779671914
driver,constrained_hybrid,russell,George Russell,11.25,7.199288854,3.625104947,0.1520929322,,,,-4.050711146
driver,constrained_hybrid,leclerc,Charles Leclerc,10.75,6.86926111,3.598254821,0.1557622042,,,,-3.88073889
driver,constrained_hybrid,norris,Lando Norris,10.25,6.733904972,3.591273328,0.1582620252,,,,-3.516095028
driver,constrained_hybrid,hadjar,Isack Hadjar,-0.25,6.590098935,3.845281266,0.1812615442,,,,6.840098935
driver,constrained_hybrid,piastri,Oscar Piastri,7.5,5.862108053,3.591188827,0.1673308903,,,,-1.637891947
driver,constrained_hybrid,gasly,Pierre Gasly,4.333333333,5.745977683,3.700018928,0.1704965629,,,,1.41264435
driver,constrained_hybrid,lawson,Liam Lawson,8.75,4.923367515,3.462958892,0.170381006,,,,-3.826632485
driver,constrained_hybrid,arvid_lindblad,Arvid Lindblad,-2,5.41313405,4.004253229,0.1671553516,,,,7.41313405
driver,constrained_hybrid,ocon,Esteban Ocon,6.75,4.891283068,3.553405845,0.1702752828,,,,-1.858716932
driver,constrained_hybrid,bortoleto,Gabriel Bortoleto,0.25,5.107904773,3.896712911,0.1662420203,,,,4.857904773
driver,constrained_hybrid,colapinto,Franco Colapinto,5.5,4.739158141,3.605634992,0.1700284725,,,,-0.7608418587
driver,constrained_hybrid,sainz,Carlos Sainz,8,3.776120822,3.368032812,0.1785385042,,,,-4.223879178
driver,constrained_hybrid,albon,Alexander Albon,7.75,3.735403495,3.378536862,0.1784333164,,,,-4.014596505
driver,constrained_hybrid,alonso,Fernando Alonso,2.5,3.984462968,3.74761761,0.1657917506,,,,1.484462968
driver,constrained_hybrid,bearman,Oliver Bearman,4,3.776256772,3.630565062,0.1699736611,,,,-0.2237432284
driver,constrained_hybrid,hulkenberg,Nico Hulkenberg,-2.75,4.065782726,4.150768704,0.1487254614,,,,6.815782726
driver,constrained_hybrid,perez,Sergio Perez,3.75,2.825515637,3.567960643,0.1732371681,,,,-0.9244843632
driver,constrained_hybrid,bottas,Valtteri Bottas,0.25,1.922385433,3.824657349,0.1585226597,,,,1.672385433
driver,constrained_hybrid,stroll,Lance Stroll,5.25,0.07335609431,3.057927551,0.2068514871,,,,-5.176643906
driver,constrained_form_price,antonelli,Kimi Antonelli,10,7.995538808,0.7901651652,0,8.343064218,,,-2.004461192
driver,constrained_form_price,hamilton,Lewis Hamilton,7,7.902174119,0.6502733016,0,8.863434332,,,0.9021741186
driver,constrained_form_price,max_verstappen,Max Verstappen,6.5,9.440844801,0.4556172541,0,9.413095526,,,2.940844801
driver,constrained_form_price,russell,George Russell,11.25,9.02405754,0.888640873,0,8.135416667,,,-2.22594246
driver,constrained_form_price,leclerc,Charles Leclerc,10.75,6.752181356,0.7380439585,0,8.269438922,,,-3.997818644
driver,constrained_form_price,norris,Lando Norris,10.25,8.371512222,0.8080444864,0,8.319814509,,,-1.878487778
driver,constrained_form_price,hadjar,Isack Hadjar,-0.25,7.063097061,0.6848428499,0,9.354772843,,,7.313097061
driver,constrained_form_price,piastri,Oscar Piastri,7.5,7.415003541,0.6878167859,0,8.705771094,,,-0.08499645945
driver,constrained_form_price,gasly,Pierre Gasly,4.333333333,6.338360665,0.7114872937,0,8.842229583,,,2.005027331
driver,constrained_form_price,lawson,Liam Lawson,8.75,4.866688232,0.483807778,0,8.765760909,,,-3.883311768
driver,constrained_form_price,arvid_lindblad,Arvid Lindblad,-2,4.598415327,1.200242543,0,8.306644584,,,6.598415327
driver,constrained_form_price,ocon,Esteban Ocon,6.75,5.377785565,0.632152613,0,8.700327079,,,-1.372214435
driver,constrained_form_price,bortoleto,Gabriel Bortoleto,0.25,4.082932254,1.034438124,0,8.383358857,,,3.832932254
driver,constrained_form_price,colapinto,Franco Colapinto,5.5,5.853774859,0.6947686987,0,8.730625811,,,0.3537748595
driver,constrained_form_price,sainz,Carlos Sainz,8,4.479045071,0.4568066364,0,8.848924557,,,-3.520954929
driver,constrained_form_price,albon,Alexander Albon,7.75,2.173124558,0,0,9.561748054,,,-5.576875442
driver,constrained_form_price,alonso,Fernando Alonso,2.5,3.111830091,0.7572068798,0,8.633618441,,,0.6118300909
driver,constrained_form_price,bearman,Oliver Bearman,4,3.419634968,0.6252208968,0,8.782444224,,,-0.580365032
driver,constrained_form_price,hulkenberg,Nico Hulkenberg,-2.75,2.210244648,1.524424594,0,7.544020602,,,4.960244648
driver,constrained_form_price,perez,Sergio Perez,3.75,2.089368214,0.447996073,0,9.027546778,,,-1.660631786
driver,constrained_form_price,bottas,Valtteri Bottas,0.25,1.690749235,0.9292411074,0,8.376589409,,,1.440749235
driver,constrained_form_price,stroll,Lance Stroll,5.25,0.8793437143,0,0,9.672780857,,,-4.370656286
driver,ridge_form_price,antonelli,Kimi Antonelli,10,6.522077127,-0.04384704728,-0.1067604215,11.73499979,,1,-3.477922873
