period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number
2026,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,8.45009964387,0.731969162023,2.06877371211,0.11365433295,4.39530316813,12.5048961196,0.509206669441,0.954731654605,"[4.3953, 12.5049]","[0.509207, 0.954732]",0.325371650529,0.317527134838,12.8685680314,16.3198900737,6.1365054452e-15,88,4,0,0,21.4158291087
2026,driver,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,8.46427050808,0.730078460652,2.07686529326,0.114355674877,4.39361453329,12.5349264829,0.505941337893,0.954215583411,"[4.39361, 12.5349]","[0.505941, 0.954216]",0.321547242561,0.31365825701,12.8401801935,16.3660827017,6.9439403722e-15,88,4,0,0,21.3909477117
2026,driver,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,5.28179014428,0.934476360704,3.20314415001,0.232325437294,-0.996372389736,11.5599526783,0.479118503608,1.3898342178,"[-0.996372, 11.56]","[0.479119, 1.38983]",0.158337148822,0.148550371483,14.4675426648,18.2286293761,1.57449810765e-15,88,4,0,0,22.5411571851
2026,driver,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,5.41014617231,0.979877650495,2.69043175845,0.188742744519,0.136899925759,10.6833924189,0.609941871238,1.34981342975,"[0.1369, 10.6834]","[0.609942, 1.34981]",0.23861972582,0.229766466817,13.864009134,17.3374709323,-8.07434927e-16,88,4,0,66,20.565709398
2026,driver,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,7.15778564381,0.880464691067,2.27163682801,0.147056448174,2.7053774609,11.6101938267,0.592234052646,1.16869532949,"[2.70538, 11.6102]","[0.592234, 1.1687]",0.294198220593,0.285991223158,13.3585492637,16.6926892996,5.9750184598e-15,88,4,0,0,19.5251852493
2026,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,15.0864843861,0.866043920795,4.79938662598,0.112438137593,5.67968659917,24.493282173,0.645665171113,1.08642267048,"[5.67969, 24.4933]","[0.645665, 1.08642]",0.597289848898,0.58722209512,18.1967824967,22.6716822043,-1.75943915522e-14,42,4,1,0,57.1622726609
2026,constructor,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,14.9749561907,0.868745951273,4.78207326744,0.111975926466,5.60209258652,24.3478197949,0.6492731354,1.08821876715,"[5.60209, 24.3478]","[0.649273, 1.08822]",0.600765139067,0.590784267544,18.212859277,22.5736446982,-3.14668925837e-14,42,4,1,0,57.2323512961
2026,constructor,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,15.0850863034,0.921233478009,7.62948346424,0.224151735013,0.131298713471,30.0388738933,0.481896077383,1.36057087863,"[0.131299, 30.0389]","[0.481896, 1.36057]",0.296901020666,0.279323546183,23.9698232969,29.9568186655,-1.69176841848e-14,42,4,1,0,54.8545771996
2026,constructor,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,4.52167071847,1.12571314381,7.39645883394,0.200429610849,-9.97538859604,19.018730033,0.732871106552,1.51855518108,"[-9.97539, 19.0187]","[0.732871, 1.51856]",0.434834216836,0.421049685539,21.3395662944,27.0011259706,-1.02450347947e-14,43,4,0,33,64.7606360879
2026,constructor,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,14.1720848806,0.904443836041,5.73053700642,0.14901544116,2.94023234799,25.4039374132,0.612373571367,1.19651410071,"[2.94023, 25.4039]","[0.612374, 1.19651]",0.473267636609,0.460420505795,21.2498714821,26.0668736145,6.27921487416e-15,43,4,0,0,54.1511695897
2023-2025,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,5.19287114446,0.856180139151,1.1099993561,0.0709294936574,3.01727240651,7.36846988241,0.717158331583,0.99520194672,"[3.01727, 7.36847]","[0.717158, 0.995202]",0.289842961765,0.287853726363,12.1420264374,15.5220947492,-5.54183749339e-15,359,18,1,0,21.1838751113
2023-2025,driver,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,5.64355992822,0.813163857708,1.1097663789,0.0699509620123,3.46841782558,7.81870203086,0.676059972164,0.950267743252,"[3.46842, 7.8187]","[0.67606, 0.950268]",0.274589705026,0.272557743415,12.3727949973,15.6879064065,-4.75014642291e-16,359,18,1,0,21.2421860077
