entity_type,entity_id,entity_name,normal_ev,normal_weekend_only_mean,median_normalised_score,recency_weighted_normal_ev,current_price,form_percentile,price_percentile,strength_definition,strength,form_price_correlation,form_price_percentile_correlation,form_price_vif
driver,colapinto,Franco Colapinto,10.1,6.666666667,9,9.783099648,11.2,0.5909090909,0.5909090909,blend_form_0.50_price_0.50,0.5909090909,,,
driver,gasly,Pierre Gasly,10.2,12,12,10.10904654,13,0.6363636364,0.6363636364,blend_form_0.50_price_0.50,0.6363636364,,,
driver,hadjar,Isack Hadjar,12.63636364,15.14285714,16,18.25929909,14.5,0.7272727273,0.6818181818,blend_form_0.50_price_0.50,0.7045454545,,,
driver,hamilton,Lewis Hamilton,28.72727273,28.71428571,27,28.30524828,25,0.9545454545,0.8181818182,blend_form_0.50_price_0.50,0.8863636364,,,
driver,hulkenberg,Nico Hulkenberg,-1.909090909,-0.5714285714,3,0.1337170976,3,0.1818181818,0.09090909091,blend_form_0.50_price_0.50,0.1363636364,,,
driver,lawson,Liam Lawson,8.454545455,8.571428571,10,9.187979335,10.3,0.5227272727,0.5,blend_form_0.50_price_0.50,0.5113636364,,,
driver,leclerc,Charles Leclerc,24.2,21,29.5,26.4863202,23.9,0.9090909091,0.7272727273,blend_form_0.50_price_0.50,0.8181818182,,,
driver,max_verstappen,Max Verstappen,22.27272727,26,24,23.35335922,27.6,0.8181818182,0.9545454545,blend_form_0.50_price_0.50,0.8863636364,,,
driver,norris,Lando Norris,16.90909091,19.85714286,23,23.17518415,26.1,0.7727272727,0.9090909091,blend_form_0.50_price_0.50,0.8409090909,,,
driver,ocon,Esteban Ocon,8.454545455,7.857142857,8,7.605691747,10.7,0.5227272727,0.5454545455,blend_form_0.50_price_0.50,0.5340909091,,,
driver,perez,Sergio Perez,-0.9090909091,-4.285714286,4,-6.230682692,3.8,0.2272727273,0.1818181818,blend_form_0.50_price_0.50,0.2045454545,,,
driver,piastri,Oscar Piastri,11.81818182,13.57142857,16,10.53646474,24.4,0.6818181818,0.7727272727,blend_form_0.50_price_0.50,0.7272727273,,,
driver,russell,George Russell,23.1,23.5,29,19.26278388,27.9,0.8636363636,1,blend_form_0.50_price_0.50,0.9318181818,,,
driver,sainz,Carlos Sainz,5.222222222,2.285714286,9,3.315468358,10,0.3636363636,0.4545454545,blend_form_0.50_price_0.50,0.4090909091,,,
driver,stroll,Lance Stroll,-9.181818182,-14.42857143,-17,-5.55656781,3,0.04545454545,0.09090909091,blend_form_0.50_price_0.50,0.06818181818,,,
constructor,alpine,Alpine,26.45454545,23.57142857,25,25.20935228,18.8,0.5454545455,0.6363636364,blend_form_0.25_price_0.75,0.6136363636,,,
constructor,aston_martin,Aston Martin,-8.090909091,-11.14285714,-11,0.3796446645,5.7,0.09090909091,0.1818181818,blend_form_0.25_price_0.75,0.1590909091,,,
